Index,Q1 (Da),Q3 (Da),Rt (min),Molecular Weight (Da),Ionization model,KEGG ID,Compound name,Class,R30,S30,L30,F30,R45,S45,L45,F45,R85,S85,L85,DPA10,DPA20,IMG,MG,Br,Br3,Br7,Br10,Br15
pmf0465,579,255.1,4.33,578,[M+H]+,-,Coumaroyl tomatidine,Alkaloids,0.45484088,-0.367178129,0.735731798,0.21525745,0.157426967,-0.4679684,0.669639817,0.124380977,0.355702909,-0.437400859,0.529194358,1.008361218,1.272729141,1.314036628,1.115760687,0.025243006,-0.960353656,-1.907947428,-1.579139824,-2.258317541
pmf0475,653,273.1,3.65,652,[M+H]+,-,Acetyl hydroxy tomatidine-O-hexoside,Alkaloids,-0.545840784,-0.567616377,-0.56920025,-0.55522741,-0.56920025,-0.567519892,-0.565839534,-0.533104746,-0.54739833,-0.567905833,-0.567120168,-0.54079599,-0.48337355,-0.351974576,-0.294359166,-0.114483303,1.874626721,2.080002228,2.086894023,1.899437185
pmf0480,710.3,416.3,4.18,709.3,[M+H]+,-,Tomatidine-O-hexosyl-O-pentoside,Alkaloids,-0.419521018,-0.849246745,0.299869155,-1.148827939,-0.476090781,-0.836978603,-0.308085402,-1.325080235,-0.895252274,0.149243643,-0.54595103,-1.044344269,-0.556856044,0.933723121,1.82657118,0.76333227,2.412715708,0.149925206,0.998471644,0.872382414
pmf0485,814.09998,574.4,3.64,813.09998,[M+H]+,-,Acetyl hydroxy tomatidine-di-O-hexoside,Alkaloids,-0.688912817,-0.704962151,-0.70381191,-0.699855638,-0.702604956,-0.703593149,-0.704990199,-0.68174447,-0.687943825,-0.704697307,-0.704990199,-0.664394506,-0.611041651,0.231083093,0.811243951,1.182930931,1.594392532,1.291968255,2.11351992,1.738404093
pmf0491,1032.8,414.1,4.27,1031.8,[M+H]+,-,Dehydrotomatine isomer (25R),Alkaloids,0.940675247,0.413477394,0.529951338,1.691625678,0.210158842,0.210158842,0.847700432,1.824446843,0.549363662,-0.351776855,0.948848858,0.411433991,-0.241433118,-0.585746445,-0.863649189,-0.834019852,-1.036316703,-1.572403357,-1.544204403,-1.548291208
pmf0494,1032.7,414.2,3.61,1031.7,[M+H]+,-,Habrochaitoside A,Alkaloids,-0.048497657,-0.321823064,-0.607612108,0.806464213,0.370236865,-0.040844546,-0.53447023,2.087813717,3.294818711,0.44786128,-0.374082881,-0.50112453,-0.516321423,-0.540811379,-0.519382667,-0.503857784,-0.638817123,-0.619201106,-0.630986897,-0.609361391
pmf0495,1034.5,416.1,4.35,1033.5,[M+H]+,-,α-Tomatine,Alkaloids,0.032462447,-0.663426653,0.032462447,1.327692531,-0.312882731,-0.954556351,0.54119674,1.461374535,-0.190340894,-1.095665133,0.718696735,1.609910095,1.364826421,0.659282511,0.466186282,0.315422689,-0.830529158,-1.472054242,-1.430241482,-1.579816791
pmf0497,1050.5,432,3.69,1049.5,[M+H]+,-,Neorickiioside A,Alkaloids,3.039274364,0.202620346,-0.637940008,1.106270163,1.815433667,-0.314902987,-0.635805402,0.738643597,1.025629497,-0.459819007,-0.601177351,-0.57271594,-0.637702829,-0.633907974,-0.604497849,-0.570818512,-0.449620335,-0.623448406,-0.598094032,-0.587421002
pmf0498,1050.5,432.1,4.12,1049.5,[M+H]+,-,Lycoperoside H,Alkaloids,-0.487446892,-0.591093098,-0.612638998,-0.21920912,-0.629093811,-0.606644373,-0.645718037,0.044793319,-0.433538702,-0.554126241,-0.641647773,-0.575706893,-0.567114596,-0.433364944,-0.344314348,-0.070646662,1.027499229,1.37066982,1.912792474,3.056549646
pmf0499,1067,273,4.51,1066,[M+H]+,-,Caffeoyl hydroxy tomatidine-di-O-hexosyl-O-pentoside,Alkaloids,-0.617420925,-0.558962369,-0.657719278,-0.05307102,-0.538726715,-0.758292208,-0.680549247,-0.593034367,-0.702289603,-0.768148874,-0.755787829,-0.54979579,-0.591564256,0.87413702,-0.18555402,0.147659748,0.704643355,1.583872314,2.27679645,2.423807611
pmf0501,1092.558,1032.5,4.54,1091.558,[M+H]+,-,Lycoperoside C,Alkaloids,0.095238779,-0.601852011,-0.6848409,2.559504731,-0.102410511,-0.586532207,-0.672775562,3.111176446,0.203191805,-0.577165694,-0.625109538,0.284156575,-0.238145566,-0.198060068,-0.030574123,0.17302846,-0.364355354,-0.58101549,-0.548589893,-0.614869876
pmf0502,1092.558,1032.6,3.67,1091.558,[M+H]+,-,Lycoperoside A,Alkaloids,-0.522467944,-0.527804506,-0.52871974,-0.524518679,-0.522606065,-0.528052397,-0.528824421,-0.51959648,-0.517146648,-0.526829662,-0.527546438,-0.522720924,-0.509179244,-0.467401256,-0.44770083,-0.240591924,1.893742042,2.05876037,2.225959557,1.783245189
pmf0503,1094.54,1034.6,3.96,1093.54,[M+H]+,-,(Lycoperoside H) FA or (Hydroxy-α-Tomatine) FA III,Alkaloids,-0.567922624,-0.889698073,-0.92109668,-0.521835477,-0.754867669,-0.847412884,-0.904516435,0.78038142,-0.543812648,-0.856036837,-0.914084572,-0.444590823,-0.339805158,-0.06068582,0.238834266,0.727524934,2.142595065,1.327492414,2.074901671,1.274635929
pmf0505,1108.7,443,3.88,1107.7,[M+H]+,-,Esculeoside A lacking O27 glucosyl residue,Alkaloids,-0.694828715,-0.711953912,-0.711935557,-0.61329589,-0.695067329,-0.714872354,-0.696443953,0.244432361,-0.535287222,-0.713660925,-0.674619881,-0.625960827,-0.629081174,0.543618548,1.345731207,2.839826642,1.98264904,0.187531921,0.561973528,0.311244491
pmf0506,1229,430.2,3.13,1228,[M+H]+,-,Caffeoyl hydroxy tomatidine-tri-O-hexosyl-O-pentoside,Alkaloids,-0.355596325,-0.355979403,-0.355979403,-0.355979403,-0.355979403,-0.355979403,-0.355979403,-0.355537498,-0.355502114,-0.355979403,-0.355716189,-0.355979403,-0.355397244,-0.355224303,-0.355178746,-0.352902167,-0.144869228,1.163773572,0.647163307,4.022822161
pmf0492,1033,414.1,4.26,1032,[M+H]+,-,Dehydrotomatine,Alkaloids,0.939555505,0.149159094,0.711469683,1.375402668,0.404344221,0.395311119,0.948588607,1.892547748,0.826641732,-0.225714632,0.747602091,0.271105969,-0.282171519,-0.589296981,-0.867064863,-0.912230372,-1.110281129,-1.563110525,-1.543192535,-1.568665882
pmf0253,130.10001,84,0.9,129.10001,[M+H]+,-,1-Amino-1-cyclopentanecarboxylic acid,Amino acid and derivatives,-0.904875839,-1.015413493,-0.702153952,-0.121309862,-1.018959041,-1.100715193,-1.045654927,-0.542604318,-1.049409036,-0.730726893,-0.981417951,0.391751704,0.408436633,1.242683082,1.419960453,0.788018768,0.825559858,1.336535808,0.892299574,1.907994625
pmf0263,136.1,119,1.8,135.1,[M+H]+,-,S-Methyl-L-cysteine,Amino acid and derivatives,-0.634291393,-0.682161618,-0.04784704,-0.058757633,-0.736864602,-0.599104732,-0.438582638,0.190822173,-0.724208314,-0.626517596,-0.601695998,-0.652975783,-0.591740082,-0.583420755,-0.546733887,-0.356071281,1.560101546,1.832866361,2.420674538,1.876508732
pmf0281,148.0603,84.1,1.01,147.0603,[M+H]+,-,O-Acetyl-L-serine,Amino acid and derivatives,-0.623205216,-0.692452451,-0.307612932,-0.343032495,-0.577438365,-0.659420724,-0.132107009,-0.415463511,-0.636736285,-0.408697976,0.236017659,-0.291296055,-0.259856219,-0.370492605,-0.38481962,-0.467995896,0.101104943,2.193246977,0.661052411,3.379205368
pmf0284,152,135,1.51,151,[M+H]+,-,2-Phenylglycine,Amino acid and derivatives,-0.631670045,-0.565082882,-0.361028996,-0.0451527,-0.57498841,-0.542080043,-0.585554307,0.026387227,-0.679656827,-0.689782479,-0.642676188,-0.666449456,-0.618572735,-0.360698812,-0.131000614,-0.201439927,0.786911688,1.386746465,2.167081983,2.928707058
pmf0302,176.1,102.1,1.62,175.1,[M+H]+,-,N-Acetyl-DL-aspartic acid,Amino acid and derivatives,-1.230813506,-0.621967178,2.199776813,-1.071764571,-1.230813506,-1.230813506,0.611412197,-1.08417869,-1.230813506,-0.499924807,1.608998457,0.005087042,-0.467794756,0.261609223,1.005264435,0.836840781,0.445579676,0.499993472,0.691737325,0.502584605
pmf0305,180.09463,120.0805,2.76,179.09463,[M+H]+,C17235,D-beta-Homophenylalanine,Amino acid and derivatives,-0.69036137,-0.770929464,-0.000172893,-0.556888048,-0.845619199,-0.963186375,-0.112207495,-0.677567295,-0.92065472,-0.938981368,-0.250176034,-0.644717643,-0.352182848,0.397480789,2.835270752,2.116036266,0.532337255,0.428601512,0.83317091,0.580747268
pmf0319,203.1,143.9,4.68,202.1,[M+H]+,-,N-Acetyltryptamine,Amino acid and derivatives,-1.217975049,-1.004137532,-0.040377306,-0.272665931,-1.225867583,-0.927033546,-1.064057439,2.351139674,-1.208445936,-1.070920512,0.081046293,1.253047992,1.268885853,0.75679502,1.142182966,0.661767856,0.508668535,-0.125109862,0.160235597,-0.027179089
pmf0329,221.1,158.4,2.37,220.1,[M+H]+,C19716,N-Hydroxy-L-tryptophan,Amino acid and derivatives,-0.734692468,-0.563668216,-0.689023008,1.10468438,-0.281147491,-0.243982,-0.758692556,-0.188233764,2.081065926,3.296818432,0.255862359,-0.532801961,-0.447447316,-0.111698049,-0.109493316,-0.421935411,-0.619416453,-0.378470684,-0.365557251,-0.292171154
pmf0330,223.2,149.04,7.25,222.2,[M+H]+,C02291,L(+)-Cystathionine,Amino acid and derivatives,1.816057336,0.041434585,0.944277667,-0.341346832,1.33507545,-0.179015446,0.355074857,-0.538749815,2.537530165,0.038428449,0.894175387,-0.541755951,-0.398463431,-0.389445021,-0.439547301,-0.682042335,-1.138975127,-1.124946488,-1.055805342,-1.131960807
pmf0347,269.1,135.9,1.8,268.1,[M+H]+,C01817,Homocystine,Amino acid and derivatives,-0.639895203,-0.678109507,-0.101589221,-0.10423381,-0.740627578,-0.614110466,-0.455302929,0.139068329,-0.717857671,-0.617283972,-0.592953758,-0.647961198,-0.584755534,-0.574309409,-0.524855605,-0.29213182,1.624004752,1.93871078,2.323498401,1.86069542
pmf0350,277.15,84.1,0.83,276.15,[M+H]+,C00449,Saccharopine,Amino acid and derivatives,-0.3993434,-0.543157373,-0.489914373,-0.086187107,-0.221223701,-0.541839159,-0.473742133,0.091611076,-0.063359492,-0.393556117,-0.380373974,-0.4720381,-0.434710127,-0.290671093,-0.276202886,-0.336004807,-0.302888689,1.774745774,0.032130672,3.806725009
pmf0358,284,147,4.77,283,[M+H]+,-,N-Coumaroyltyramine,Amino acid and derivatives,3.319800963,1.269606108,-0.413798652,-0.603961653,1.467692568,0.680298892,-0.442851333,-0.590854932,0.422786495,0.536686209,-0.491877731,-0.610643769,-0.60713929,-0.588973111,-0.603821342,-0.585275497,-0.543215139,-0.547209882,-0.516721075,-0.55052783
pmf0402,385.12159,136.0631,1.37,384.12159,[M+H]+,C00021,S-Adenosyl-L-homocysteine,Amino acid and derivatives,-1.333668315,-0.739355737,-0.567997464,-0.907106467,-1.365857516,-0.001012021,-0.316972626,2.440091796,-1.260284886,-0.433616503,1.454030156,1.156407892,0.828722774,-0.442635359,-0.196420578,-0.685543227,0.951980479,-0.011834649,0.888247227,0.542825024
pmb0115,225.1,121,3.58,224.1,[M+H]+,C02794,3-Hydroxykynurenine,Amino acid and derivatives,-1.047819901,-0.287673134,0.996682342,-0.754865588,-1.047819901,-0.055576409,0.953653174,-0.762819465,-0.518465946,1.329180461,2.45576232,-0.03732161,0.046128898,0.954957088,1.068397623,0.712429049,-0.869115854,-1.040073347,-1.047819901,-1.047819901
pmb0464,458.1,116.3,0.81,457.1,[M+H]+,-,Aspartic acid di-O-glucoside,Amino acid and derivatives,-0.11671783,0.178519134,1.724531784,2.040594592,-0.043214851,-0.092216837,0.073164865,2.781749626,-0.694634999,-0.585299318,-0.484845248,0.584623091,-0.488520397,-0.600428682,-0.617456872,-0.728385117,-0.764211694,-0.725935017,-0.719668889,-0.721647344
pmb2591,245,203.2,3.87,246,[M-H]-,C03137,Acetyl tryptophan,Amino acid and derivatives,-0.550099616,-0.500793674,-0.364581871,0.789475003,-0.579364678,-0.554525569,-0.2636536,3.176594078,-0.573511666,-0.270271847,2.460996088,-0.578888992,-0.588084219,-0.569565536,-0.571691648,-0.268203645,-0.096956496,-0.098197417,-0.051042405,0.052367709
pmb2855,307,145,0.78,308,[M-H]-,-,L-Glutamine O-hexside,Amino acid and derivatives,-0.993240328,-0.993240328,-0.682855648,-0.233715998,-0.943900759,-0.83168217,-0.993240328,-0.61838965,-0.976317075,-0.7190415,-0.884742992,1.397034993,0.545447116,1.426217132,2.00455407,1.720691444,0.656869828,0.728498715,0.211178977,0.1798745
pmb2857,308.1,146.1,0.8,309.1,[M-H]-,-,L-Glutamic acid O-glucoside,Amino acid and derivatives,-0.662034664,-0.662034664,-0.662034664,-0.301214504,-0.636334738,-0.662034664,-0.662034664,-0.313882417,-0.662034664,-0.662034664,-0.48914912,0.100072282,-0.207226764,-0.076869855,0.004858614,-0.02211178,0.384487356,3.011649012,0.650513524,2.529451041
pmb2873,214.1,134,3.65,215.1,[M-H]-,-,3-(2-Naphthyl)-D-alanine,Amino acid and derivatives,1.146523226,0.510125672,0.064647385,-1.146275738,1.570788262,-0.545587158,1.348049118,-1.157943027,1.641499101,-0.640693237,1.99858884,0.237888941,-0.299513438,-0.161627301,-0.564679085,-0.352546567,-0.722717811,-0.847875996,-0.855654189,-1.222996999
pme0025,209.1,146,1.92,208.0848,[M+H]+,C00328,L-Kynurenine,Amino acid and derivatives,-0.56957355,-0.526340011,0.102906205,-0.529738281,-0.60704891,-0.543708944,0.221845634,-0.52898311,-0.413630743,0.440845217,4.067553834,-0.499720234,-0.469890981,-0.255800009,-0.335470547,-0.315080931,-0.220873351,0.142552681,0.289811022,0.550345009
pme0056,145.1,101,2.55,146.0579,[M-H]-,-,"2,3-Dimethylsuccinic acid",Amino acid and derivatives,-0.176464301,-0.478071039,-0.712093066,2.858647268,-0.134389939,-0.603408348,-0.708505674,2.694778702,-0.711251579,-0.659655125,-0.649468701,0.732784795,0.347472221,-0.000637759,0.111855797,-0.05156988,-0.374878132,-0.474970823,-0.545832906,-0.464341511
pme0067,118.1,101,0.84,117.11,[M+H]+,C00581,Guanidineacetic acid,Amino acid and derivatives,-1.366389787,-1.328639385,-0.747702641,0.885351792,-1.222378994,-1.115419521,0.400888298,2.989587171,-1.108428706,0.170890478,0.21772894,0.44283319,1.178966031,0.395994728,0.098186,0.145723543,0.036666826,0.230312407,-0.087070603,-0.217099766
pme0075,188.1,128,1.17,189.0637,[M-H]-,C00624,N-Acetyl-L-glutamic acid,Amino acid and derivatives,-0.064467555,0.994600393,3.631463448,1.230909432,-0.366482034,-0.413167478,0.291436912,0.601232298,-0.257549331,-0.405530662,-0.271814328,0.089709683,-0.530313362,-0.619073342,-0.633194248,-0.629303794,-0.697170598,-0.679002179,-0.740817165,-0.531466089
pme0113,251.3,84,1.1,250.0623,[M+H]+,C00669,γ-Glu-Cys,Amino acid and derivatives,-0.990445136,-1.138176254,-0.435455262,-0.969613486,-1.034104802,-0.981678483,1.227170798,-0.625978061,-1.010929592,-1.002162939,-0.441097168,0.032822868,0.59267346,0.04757862,0.515422759,0.054522504,1.289665748,1.570893022,1.298345602,2.000545802
pme0120,118.2,101,0.84,117.079,[M+H]+,C00431,5-Aminovaleric acid,Amino acid and derivatives,-1.412679332,-1.401059515,-0.749519739,0.884724617,-1.300631091,-1.156213357,0.17591574,2.894123085,-1.167833174,0.160975974,0.165125909,0.411632041,0.802555906,0.476371025,0.129436469,0.26638432,0.054737641,0.828285503,0.081297224,-0.143629246
pme0128,159.2,88,0.76,160.0848,[M-H]-,C00993,D-Alanyl-D-Alanine,Amino acid and derivatives,-0.708648347,-0.708648347,-0.639915627,0.076700064,-0.522246939,-0.673579372,-0.567337827,1.828861975,-0.378841443,-0.648619815,-0.591273059,2.709060819,2.225208823,0.253254569,0.30421345,-0.215155342,-0.318617312,-0.478339944,-0.441639256,-0.504437068
pme0137,187.2,125,1.18,188.0797,[M-H]-,-,Nα-Acetyl-L-glutamine,Amino acid and derivatives,-0.321946501,-0.869194455,-0.796394161,-1.248312492,-0.603728485,-1.030110048,-0.684386925,-0.798158054,1.48560335,0.033478037,-0.293283231,-0.824215171,-0.599318751,0.449315926,0.405218589,0.647753944,-0.08382088,1.847201515,0.780045955,2.504251838
pme0171,158.1,74,2.84,159.0895,[M-H]-,-,N-Isovaleroylglycine,Amino acid and derivatives,-0.383479993,-0.383479993,-0.383479993,-0.383479993,-0.383479993,-0.383479993,-0.383479993,-0.27949176,-0.383479993,-0.383479993,-0.383479993,-0.383479993,-0.383479993,-0.383479993,-0.383479993,-0.383479993,-0.383479993,2.299725367,0.677181923,3.438264353
pme0190,187.1,130,1.89,188.1161,[M-H]-,C02155,N-Glycyl-L-leucine,Amino acid and derivatives,-0.192278987,-0.10584517,1.287827618,1.441552192,-0.470868522,0.277016033,-0.386610052,3.629952023,-0.552951643,-0.305832139,-0.547585785,-0.352094535,-0.312503206,-0.410828924,-0.476814472,-0.496682648,-0.47855475,-0.513360314,-0.533083467,-0.500453251
pme0248,132.058,86,0.97,131.13,[M+H]+,C01157,Trans-4-Hydroxy-L-proline,Amino acid and derivatives,-1.030028841,-1.111690353,-0.897142056,-0.243306464,-0.841568749,-0.667239766,-0.707459079,0.25399991,-1.050953754,-0.530004947,-0.785587813,0.532545829,1.790758129,1.97962585,2.300293348,0.459172758,0.081437316,-0.0490037,0.078719794,0.437432588
pme0279,189.095,171,0.78,190.095,[M-H]-,C00666,"2,6-Diaminooimelic acid",Amino acid and derivatives,-0.731716829,-0.851330083,-0.645001396,-0.38101113,-0.842287484,-0.797290428,-0.787002156,-0.384402868,-0.903335713,-0.732056002,-0.80316944,-0.342571434,-0.679484065,0.574328376,1.180318879,1.217627996,0.568675479,2.274719639,1.320510712,1.744477948
pme1018,613.152,484,1.16,612.152,[M+H]+,C00127,Glutathione oxidized,Amino acid and derivatives,-0.290174626,1.469295731,1.0789653,1.461837188,-0.850559843,0.340569517,1.852167619,2.135592263,-0.931360729,-0.802825167,-0.01744056,-0.452522251,-0.278489575,-0.934344146,-0.835642757,-1.079039886,-0.532328664,-0.75509049,-0.48161057,-0.096998355
pme1086,306,143,1.17,307.084,[M-H]-,C00051,Glutathione reduced form,Amino acid and derivatives,-0.992229581,-0.940139716,1.764445473,-0.995383003,-1.04813859,-1.004259303,1.054341489,-0.973659428,-1.046234858,-1.034275212,-0.285045433,1.199165328,1.525018965,1.272745181,1.308951141,0.151528365,-0.289950756,-0.13461551,-0.142791049,0.610526499
pme1242,322.4,130,1.24,321.1,[M+H]+,C11347,S-(Methyl)glutathione,Amino acid and derivatives,-0.638255358,-1.045887118,-0.232278395,-0.478843208,-0.741955995,-1.090566648,-0.594679026,-0.003916354,-0.884820171,-0.761261965,0.398751014,-0.696724866,-0.523522738,-0.290196304,0.090407098,0.215068502,1.690044586,1.430792994,1.800364413,2.357479539
pme1286,385,250,1.4,384.122,[M+H]+,-,S-(5'-Adenosy)-L-homocysteine,Amino acid and derivatives,-1.319384317,-0.649682809,-0.564711451,-0.891021577,-1.319384317,-0.095609219,-0.33543962,2.496771388,-1.223817684,-0.435494652,1.506276858,1.288569177,0.877790481,-0.328400573,-0.121251463,-0.723592807,0.795333069,-0.249462684,0.826003204,0.466508996
pme1310,235.1,190,1.98,236.08,[M-H]-,C02700,N'-Formylkynurenine,Amino acid and derivatives,-0.768553349,-0.456620988,2.898651464,-0.54460191,-0.850135659,-0.372639198,0.723923026,-0.229470242,-0.571796013,0.37599847,2.613913206,-0.877329762,-0.805345371,-0.243867121,-0.258263999,0.172842521,-0.065505796,-0.258263999,-0.219872323,-0.263062958
pme2427,222.1,180,2.44,223.085,[M-H]-,-,N-Acetyl-L-tyrosine,Amino acid and derivatives,-0.458070987,-0.694754856,-0.641760344,0.290857523,-0.260210545,-0.674139937,-0.682642589,4.111168327,-0.147911376,-0.475718,-0.59042358,0.337381465,0.23952076,0.282301396,-0.06582603,-0.162884598,-0.078125463,-0.117162793,-0.091761791,-0.119836583
pme2559,174,88,1.2,175.048,[M-H]-,C01042,N-Acetylaspartate,Amino acid and derivatives,-0.034371761,-0.902422584,-0.902422584,2.127945993,-0.047393212,-0.902422584,-0.850706347,3.175473131,0.313251776,-0.781477802,-0.778090543,0.670073673,0.014795747,0.165425562,-0.139147414,0.083866272,-0.211531284,-0.212295902,-0.398098161,-0.390451978
pme2566,217,199,1.16,218.09,[M-H]-,C03740,(5-L-Glutamyl)-L-amino acid,Amino acid and derivatives,0.812967588,-1.137761355,-0.529929716,-0.605113458,-0.007113539,-0.786711112,-0.296281778,0.036840034,2.339197556,1.622060322,1.80134463,-1.198486685,-1.277718783,-0.132612555,0.013706575,-0.308426844,-0.932451905,0.517437648,-0.679718864,0.748772239
pme2617,166,102,0.62,165.046,[M+H]+,-,Methionine sulfoxide,Amino acid and derivatives,-0.561054198,-0.613250084,-0.576635059,-0.149979129,-0.24606111,-0.365514383,-0.424721657,-0.16296318,-0.303190936,-0.689076945,-0.370708003,-0.47587882,-0.355127142,-0.519505233,-0.34214309,-1.378263384,1.115446525,1.81320945,2.111842633,2.493573746
pme2698,313.4,166,3.6,312.147,[M+H]+,-,Phe-Phe,Amino acid and derivatives,-0.538882027,-0.7805686,1.605834847,-0.224775697,-1.016220193,1.229367058,0.542528879,0.746568673,-1.179452028,0.030417735,-0.662455424,0.20342049,1.761594802,1.898962438,0.128701692,0.364353285,-0.7776948,-1.11076821,-1.251182073,-0.969750848
